,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,-1.0294712960388779,0.00499574269840862,6481.22682918662
1,500,0.24852352175013898,0.007915844572865132,0.0007955723135443862,0.6958507438984504,0.0020511005526144188,11421.48837819654
2,1000,0.24852352175013898,0.007915844572865132,0.0007955723135443862,0.6958507438984504,0.0020511005526144188,11421.48837819654
3,1500,0.24861089049800703,0.011230181820136577,0.0011286757401473787,0.6962758172329128,0.0019383438542019491,9766.417275354
4,2000,0.25,0.0,0.0,0.6971469430494159,0.0019817054454950777,10585.174980820468
5,2500,0.25,0.0,0.0,0.6971469430494159,0.0019817054454950777,10585.174980820468
6,3000,0.25,0.0,0.0,0.6971469430494159,0.0019817054454950777,10585.174980820468
7,3500,0.25,0.0,0.0,0.6981004807150915,0.0019695290742753864,10602.777548335851
8,4000,0.25,0.0,0.0,0.6981004807150915,0.0019695290742753864,10602.777548335851
9,4500,0.25,0.0,0.0,0.6981004807150915,0.0019695290742753864,10602.777548335851
10,5000,0.25,0.0,0.0,0.6981004807150915,0.0019695290742753864,10602.777548335851
