,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,0.5605573217488322,0.0009438814859371923,6195.267578810561
1,500,0.24101820881551564,0.031435810385950426,0.003159417819119847,0.6340358405871962,0.0011980684438271385,1422.2511961371217
2,1000,0.24101820881551564,0.031435810385950426,0.003159417819119847,0.6340358405871962,0.0011980684438271385,1422.2511961371217
3,1500,0.24101820881551564,0.031435810385950426,0.003159417819119847,0.6340358405871962,0.0011980684438271385,1422.2511961371217
4,2000,0.2495325601039318,0.004650968241902997,0.00046743989606821675,0.6369592233016907,0.0011880858115020732,1475.899190790127
5,2500,0.2495325601039318,0.004650968241902997,0.00046743989606821675,0.6369592233016907,0.0011880858115020732,1475.899190790127
6,3000,0.25,0.0,0.0,0.6368408807122106,0.0011888779027067005,1475.8111118881845
7,3500,0.25,0.0,0.0,0.6441012589307455,0.0011262164486473226,1451.6964610497607
8,4000,0.25,0.0,0.0,0.6441012589307455,0.0011262164486473226,1451.6964610497607
9,4500,0.25,0.0,0.0,0.6441012589307455,0.0011262164486473226,1451.6964610497607
10,5000,0.25,0.0,0.0,0.6441012589307455,0.0011262164486473226,1451.6964610497607
